trip_quarter,taxi_company,city,city_population,total_trips,unique_taxis,total_trip_seconds,avg_trip_seconds,total_trip_miles,avg_trip_miles,total_fare,avg_fare,total_tips,avg_tips,avg_pickup_latitude,avg_pickup_longitude,avg_mph_per_trip,avg_tips_per_hour,avg_fare_per_mile,avg_trip_duration_minutes,avg_total_revenue_per_trip,revenue_rank_within_city,trip_count_rank_within_city,fare_percentile_within_city,total_revenue_per_city,revenue_rank_within_company,total_revenue_per_company,revenue_contribution_percentage,trips_per_population,avg_trips_per_taxi,avg_revenue_trend
2018-04-01 00:00:00+00:00,Chicago Carriage Cab Corp,Chicago Lawn,55551.0,394,144,629545,1597.829949238578,2085.419999999999,5.292944162436548,6973.35,17.698857868020315,147.81000000000003,0.37515228426395947,41.784168011489854,-87.68984100992137,14.321440694710626,9.651764379452164,12.045215538377862,26.630499153976306,18.074010152284266,4,5,0.4444444444444444,106130.94,49,55495733.10999998,0.001387435077735041,0.007092581591690518,2.736111111111111,3102.109274310595
2015-10-01 00:00:00+00:00,6747 - Mueen Abdalla,McKinley Park,15612.0,269,1,184080,684.3122676579932,689.6999999999997,2.5639405204460965,2617.249999999998,9.729553903345723,355.55,1.3217472118959108,41.877577916643084,-87.63690716527883,11.526704997618065,8.242766150120564,5.352310455646806,11.405204460966546,11.05130111524163,26,26,0.36538461538461536,9688187.409999985,14,96127.34999999998,0.0007659011706925949,0.01723033563925186,269.0,227390.7098345587
2018-01-01 00:00:00+00:00,Checker Taxi Affiliation,Calumet Park,7865.0,22,6,11536,524.3636363636364,66.14000000000001,3.006363636363636,230.75,10.488636363636365,0.0,0.0,41.70063006781819,-87.62561619654545,11.670470475254364,0.0,30.517411060308305,8.73939393939394,10.488636363636365,10,8,0.28125,40752.26,61,6081321.329999999,5.303933464444196e-05,0.002797202797202797,3.6666666666666665,1165.75378250591
2015-07-01 00:00:00+00:00,Blue Diamond,Uptown,55137.0,9594,50,7101526,740.2049197415022,31943.900000000085,3.3295705649364122,102326.29999999973,10.66565561809463,8373.900000000014,0.8728267667292032,41.94319809013707,-87.6565934223068,46.0337677498189,17.209779930933454,4.5762947564765755,12.33674866235844,11.538482384823869,11,11,0.4716981132075472,8962771.190000003,14,5168540.6499999985,0.025984364667610775,0.174002938135916,191.88,251275.3626938777
2016-01-01 00:00:00+00:00,3141 - 87803 Zip Cab,West Ridge,72211.0,7,1,4440,634.2857142857142,28.1,4.014285714285714,91.5,13.07142857142857,7.8,1.1142857142857143,41.959185682428576,-87.66291679628571,20.413543599257885,4.816326530612245,4.612152707544382,10.571428571428571,14.185714285714285,44,41,0.6666666666666666,4178221.0400000005,24,112716.75,2.1321558275903785e-05,9.693813961861766e-05,7.0,82838.80861538468
2019-07-01 00:00:00+00:00,Taxi Affiliation Services,Ashburn,42752.0,14764,775,25202400,1707.0170685451103,101172.79999999971,6.852668653481421,485382.77999999997,32.87610268219987,79485.56000000052,5.383741533459784,41.784884065987924,-87.74765878530764,14.601318305304128,12.681290152287394,19.453162256502473,28.450284475751772,38.25984421565972,1,1,0.41304347826086957,1855610.26,23,77339265.16999993,0.15762572157190974,0.34534056886227543,19.05032258064516,49251.8018619698
2018-10-01 00:00:00+00:00,Blue Ribbon Taxi Association Inc.,Edgewater,54873.0,14237,192,9960240,699.6024443351814,1245.3000000000018,0.08746927021142108,167436.84999999974,11.76068343049799,12010.029999999977,0.8435787033785203,41.963962706014165,-87.66084610352068,0.32370801275265126,5.9739252143552966,69.37346729124603,11.660040738919745,12.604262133876533,6,5,0.42592592592592593,3584178.0699999994,16,17222666.640000116,0.04087471659536705,0.259453647513349,74.15104166666667,128472.43826696163
2018-07-01 00:00:00+00:00,303 Taxi,Oak Park,52287.0,39,22,59890,1535.6410256410252,337.69999999999993,8.65897435897436,355.22999999999985,9.108461538461539,11.45,0.29358974358974366,41.90003654466668,-87.75935051276923,19.057793852233377,0.5168912403915004,1.4718326605904801,25.594017094017094,9.402051282051282,15,13,0.03333333333333333,105551.19,37,56232.320000000356,8.266822898058326e-05,0.0007458832979516897,1.7727272727272727,3832.3712048192774
2015-07-01 00:00:00+00:00,Chicago Medallion Leasing INC,New City,40997.0,240,18,235080,979.5000000000005,1294.8,5.394999999999999,3438.7499999999977,14.328125000000004,273.86,1.1410833333333334,41.848180089404146,-87.62781228624165,19.342156662298862,3.6595384135800626,3.2975573357272094,16.325,15.469208333333329,13,13,0.8113207547169812,1031903.1199999999,33,2070283.819999998,0.0008714511094706116,0.005854086884406176,13.333333333333334,24058.451670103084
2016-10-01 00:00:00+00:00,Patriot Trans Inc,Rogers Park,54402.0,50,2,32280,645.6,124.80000000000001,2.496,546.0,10.919999999999996,42.050000000000004,0.841,41.982367835859996,-87.67055081199999,12.602695302709565,4.421708262857471,6.164966382041098,10.760000000000002,11.761,39,38,0.2222222222222222,3283721.860000001,25,102065.26,9.251969507966487e-05,0.000919083857211132,25.0,55696.65037783378
2019-04-01 00:00:00+00:00,Globe Taxi,South Lawndale,73826.0,839,143,781628,931.6185935637668,3521.379999999998,4.202124105011934,11925.0,14.213349225268178,1203.2299999999996,1.4341239570917768,41.87073433416808,-87.66852627892729,15.3590044527135,11.229144257545306,4.463021369486158,15.526976559396097,15.647473182359958,16,16,0.5,1556605.3299999998,24,3912968.37,0.003276726485712256,0.011364559911142416,5.8671328671328675,31422.36477209944
2018-04-01 00:00:00+00:00,3094 - 24059 G.L.B. Cab Co,Edgewater,54873.0,60,1,43620,727.0000000000001,167.40000000000006,2.7899999999999996,644.0,10.733333333333334,54.650000000000006,0.9108333333333333,41.942961008316665,-87.6545341683,14.12266226628141,4.328739950175101,5.096132530427298,12.116666666666667,11.644166666666669,39,38,0.19047619047619047,4950443.79,14,60240.75,0.0001361198901667125,0.0010934339292548248,60.0,133374.9421048387
